toxic-rest-0	把这帮小自贤孙虫报	把这帮孝子贤孙冲爆	[(4, '孝'), (5, '子'), (8, '冲'), (9, '爆')]
toxic-rest-512	还不赶紧给小先女跪下？想被刀了爆1500金币？	还不赶紧给小仙女跪下？想被刀了爆1500金币？	[(7, '仙')]
toxic-rest-513	俗话说**炒的就是说的这种媒体这种人	俗话说**草的就是说的这种媒体这种人	[(6, '草')]
toxic-rest-514	不敢用整版元图P的元因是我们发图的时间是在它的前面，这个是它怎么都改不了的	不敢用整版原图P的原因是我们发图的时间是在它的前面，这个是它怎么都改不了的	[(6, '原'), (10, '原')]
toxic-rest-515	什么女侧所	什么女厕所	[(4, '厕')]
toxic-rest-516	世界终究越来越正常，只脑们做好被强制纠正取向的准备。	世界终究越来越正常，直佬们做好被强制纠正取向的准备。	[(11, '直'), (12, '佬')]
toxic-rest-517	你想多了，要不是你们知乎一些吃饱了撑的到处举报陕费黑人，被遣返回国，人家日子过得爽着呢	你想多了，要不是你们知乎一些吃饱了撑的到处举报三非黑人，被遣返回国，人家日子过得爽着呢	[(24, '三'), (25, '非')]
toxic-rest-518	干嘛一视同仁，男人都是潜在的qj犯，嘿难更是不同人种男性犯罪率最高的，女人则很珍贵，飞率犯罪率低，受教育程度更高，嘿难跑了往往是飞率带孩子养家，怎么看嘿难和飞率都不能相提并论	干嘛一视同仁，男人都是潜在的qj犯，黑男更是不同人种男性犯罪率最高的，女人则很珍贵，黑女犯罪率低，受教育程度更高，黑男跑了往往是黑女带孩子养家，怎么看黑男和黑女都不能相提并论	[(19, '黑'), (20, '男'), (43, '黑'), (44, '女'), (58, '黑'), (59, '男'), (65, '黑'), (66, '女'), (76, '黑'), (77, '男'), (79, '黑'), (80, '女')]
toxic-rest-519	你应该学习一下生物学和遗传学，然后研究一下黑人的劣质基因，并进一步找到黑人低智商和野满的根本元因。	你应该学习一下生物学和遗传学，然后研究一下黑人的劣质基因，并进一步找到黑人低智商和野蛮的根本原因。	[(43, '蛮'), (47, '原')]
toxic-rest-520	快乐教育的产物😓生怕我们不知道她们是生募，还有他们那些极端动物环境保护组织的人 一群玛利亚	快乐教育的产物😓生怕我们不知道她们是圣母，还有他们那些极端动物环境保护组织的人 一群玛利亚	[(19, '圣'), (20, '母')]
toxic-rest-521	就应该给每嗨的女人一耳光，这本来就是为她们好，更是为我们国家好，对待黑人，矫枉必须过正…	就应该给媚黑的女人一耳光，这本来就是为她们好，更是为我们国家好，对待黑人，矫枉必须过正…	[(5, '媚'), (6, '黑')]
toxic-rest-522	我会抱购 但是不会抱黑人	我会抱狗 但是不会抱黑人	[(4, '狗')]
toxic-rest-523	太可笑了，苏北跟江戏把竿子打不着的怎么会干起来🤣	太可笑了，苏北跟江西八竿子打不着的怎么会干起来🤣	[(10, '西'), (11, '八')]
toxic-rest-524	没错，但是杀伪军和杀归自一样重要。	没错，但是杀伪军和杀鬼子一样重要。	[(11, '鬼'), (12, '子')]
toxic-rest-525	是末不是嘿😆	是默不是嘿😆	[(2, '默')]
toxic-rest-526	蛤蟆钻拟吗比里了？一天到晚哈拟吗大比	蛤蟆钻你妈比里了？一天到晚哈你妈大比	[(4, '你'), (5, '妈'), (15, '你'), (16, '妈')]
toxic-rest-527	非批肤的努比亚人是法老伴妃不假	黑皮肤的努比亚人是法老伴妃不假	[(1, '黑'), (2, '皮')]
toxic-rest-528	魔都+帝都从人人清北复交，到著名的排外说，再到男人没男子气概，女人归天老外，再到小市民精打细算小家子气斤斤计较，我真的不想列举了	魔都+帝都从人人清北复交，到著名的排外说，再到男人没男子气概，女人跪舔老外，再到小市民精打细算小家子气斤斤计较，我真的不想列举了	[(34, '跪'), (35, '舔')]
toxic-rest-529	作为从来没想过找外国人的女生来说，我觉得吧还是提升洋那级来中国的门槛吧… 对于那些找优秀老外因为爱的女生我觉得可以理解吧 不能一杆子打死，那些上赶着的eg当然皮判我觉得没问题	作为从来没想过找外国人的女生来说，我觉得吧还是提升洋垃圾来中国的门槛吧… 对于那些找优秀老外因为爱的女生我觉得可以理解吧 不能一杆子打死，那些上赶着的eg当然批判我觉得没问题	[(27, '垃'), (28, '圾'), (80, '批')]
toxic-rest-530	这是真率权吧…😅还分上等级了	这是真女拳吧…😅还分上等级了	[(4, '女'), (5, '拳')]
toxic-rest-531	如果你有数据就拿出数据说明是大多数，不要在这里'…吧'。简单说几点，艾滋病保密元则，留学生特权，以及各种各样的负面新闻（面对宁波工程学院的事，残忍虐杀，为什么不是立即绳之以法，要考虑他是外国人的身份，这也是特权)，中国人建立的国度，让外国人享受特权这是什么道理。散菲黑人为什么不立即驱逐出境。凭什么入境不能查艾滋病？	如果你有数据就拿出数据说明是大多数，不要在这里'…吧'。简单说几点，艾滋病保密原则，留学生特权，以及各种各样的负面新闻（面对宁波工程学院的事，残忍虐杀，为什么不是立即绳之以法，要考虑他是外国人的身份，这也是特权)，中国人建立的国度，让外国人享受特权这是什么道理。三非黑人为什么不立即驱逐出境。凭什么入境不能查艾滋病？	[(40, '原'), (132, '三'), (133, '非')]
toxic-rest-532	绞杀黑主直男捏	绞杀肥猪直男捏	[(3, '肥'), (4, '猪')]
toxic-rest-533	我是支持的理中客和鉴权♂太多早该砸砸了还有那种乱开黄腔然后后面个沟头的低能	我是支持的理中客和鉴权♂太多早该砸砸了还有那种乱开黄腔然后后面个狗头的低能	[(33, '狗')]
toxic-rest-534	知足吧，爱丁堡不比井盖、善月后、竟把、就投尿、懂呗太君、百网、服减、三但当、响马听起来洋气？	知足吧，爱丁堡不比井盖、山越猴、京巴、九头鸟、东百太君、白完、胡建、陕蛋蛋、响马听起来洋气？	[(13, '山'), (14, '越'), (15, '猴'), (17, '京'), (18, '巴'), (20, '九'), (21, '头'), (22, '鸟'), (24, '东'), (25, '百'), (29, '白'), (30, '完'), (32, '胡'), (33, '建'), (35, '陕'), (36, '蛋'), (37, '蛋')]
toxic-rest-535	天原率劝是对真正女权最致命的打击，一旦两性关系坏了新生代男性因天原率劝开始炒食，那些能力弱一点的女性的噩梦就来了，会被不炒食的渣男当消耗品，而这些女性面对外国男性也是弱者，不找男人要自立她们会更加困难，因为她们天生能力有部分本来就是要家庭才能发挥的，这股天生能力不能产生收益又削弱挤占了其它方面能力，女性地位糟糕了生育率也下降，所以真女权要提倡，天原率劝真的是灭国之道	田园女权是对真正女权最致命的打击，一旦两性关系坏了新生代男性因田园女权开始草食，那些能力弱一点的女性的噩梦就来了，会被不草食的渣男当消耗品，而这些女性面对外国男性也是弱者，不找男人要自立她们会更加困难，因为她们天生能力有部分本来就是要家庭才能发挥的，这股天生能力不能产生收益又削弱挤占了其它方面能力，女性地位糟糕了生育率也下降，所以真女权要提倡，田园女权真的是灭国之道	[(1, '田'), (2, '园'), (3, '女'), (4, '权'), (32, '田'), (33, '园'), (34, '女'), (35, '权'), (38, '草'), (61, '草'), (174, '田'), (175, '园'), (176, '女'), (177, '权')]
toxic-rest-536	可以这么说呗批是普遍性都长得很丑只有极个别长得还算中规中距而黄种人可以说基本上百分之90都长得非常不错而且黄种人也是极不显老的人种	可以这么说白皮是普遍性都长得很丑只有极个别长得还算中规中距而黄种人可以说基本上百分之90都长得非常不错而且黄种人也是极不显老的人种	[(6, '白'), (7, '皮')]
toxic-rest-537	吃暨3p1来个猛点的	吃鸡3p1来个猛点的	[(2, '鸡')]
toxic-rest-538	道家思想创始人老子告诉我们反住妖的存在是符合自然辩证法的！老子告诉我们世界上存在的事物都是阴阳相生相克而产生的：没有白天哪有黑夜？没有男人哪有女人？没有高尚哪有低建？没有住妖又哪会有反住妖？因此不要再拿什么反妖违背自然规律”来说事，因为存在住妖所以必然也就存在其对立面反住妖，这就是最大的自然规律。老子的元话引用如下：有无相生，难易想成，长短相形，高下相倾，音声相和，前后相随。——《道德经》这是在告诉我们万事万物都是阴阳相生的道理。人法地，地法天，天法道，道法自然。——《道德经》这是在告诉我们万事万物都有它本身的自然规律，人只能顺应规律，违背规律做事最终会受到自然的惩罚。反住妖现象是客观存在的现象，人们想通过人为的方式去诋毁遏制甚至消灭它注定是归于失败！最终会受到自然规律的惩罚。	道家思想创始人老子告诉我们反猪妖的存在是符合自然辩证法的！老子告诉我们世界上存在的事物都是阴阳相生相克而产生的：没有白天哪有黑夜？没有男人哪有女人？没有高尚哪有低贱？没有猪妖又哪会有反猪妖？因此不要再拿什么反妖违背自然规律”来说事，因为存在猪妖所以必然也就存在其对立面反猪妖，这就是最大的自然规律。老子的原话引用如下：有无相生，难易想成，长短相形，高下相倾，音声相和，前后相随。——《道德经》这是在告诉我们万事万物都是阴阳相生的道理。人法地，地法天，天法道，道法自然。——《道德经》这是在告诉我们万事万物都有它本身的自然规律，人只能顺应规律，违背规律做事最终会受到自然的惩罚。反猪妖现象是客观存在的现象，人们想通过人为的方式去诋毁遏制甚至消灭它注定是归于失败！最终会受到自然规律的惩罚。	[(15, '猪'), (82, '贱'), (86, '猪'), (93, '猪'), (121, '猪'), (136, '猪'), (153, '原'), (290, '猪')]
toxic-rest-539	小汪汪没及闹危害大	小汪汪没基佬危害大	[(5, '基'), (6, '佬')]
toxic-rest-540	畒勾最喜欢便宜卖乖了，膜做法就是最符合实际条件了	畒勾最喜欢便宜卖乖了，默做法就是最符合实际条件了	[(12, '默')]
toxic-rest-541	我现在非常需要这些三黑黑人的证据，越多越好，最好能证明是三黑，楼主麻烦联系我一下	我现在非常需要这些三非黑人的证据，越多越好，最好能证明是三非，楼主麻烦联系我一下	[(11, '非'), (30, '非')]
toxic-rest-542	我们的同胞被倭口屠杀时，请问这个黑色的永恒族使者在哪里？	我们的同胞被倭寇屠杀时，请问这个黑色的永恒族使者在哪里？	[(8, '寇')]
toxic-rest-543	其实答主和您说的观点差不多，首先既然是类比，那肯定是有差距的能理解其中表达的意思就好。比如我对待性工作者和人品低下的人都是一个态度，保持距离，那对于我个人来说，这两种人可能就可以看做一雷任，就是我都不愿意去亲近的人，这个分类方法带有主观色彩，别人没法要求具体把谁谁分到一类。其二，平等对待的态度答主也表达出来了。	其实答主和您说的观点差不多，首先既然是类比，那肯定是有差距的能理解其中表达的意思就好。比如我对待性工作者和人品低下的人都是一个态度，保持距离，那对于我个人来说，这两种人可能就可以看做一类人，就是我都不愿意去亲近的人，这个分类方法带有主观色彩，别人没法要求具体把谁谁分到一类。其二，平等对待的态度答主也表达出来了。	[(93, '类'), (94, '人')]
toxic-rest-544	就会说男忙，字都打不对，还真被河南人骗过，不知道你是哪的人	就会说南蛮，字都打不对，还真被河南人骗过，不知道你是哪的人	[(4, '南'), (5, '蛮')]
toxic-rest-545	当然是称通	当然是撑同	[(4, '撑'), (5, '同')]
toxic-rest-546	接下来的语句要求全文背诵，我会抽查的。跟着我念：人工子宫技术已经研发出来了。骨髓干细胞（多功能干细胞）转化实验早就成功了。我国的农村小伙都娶上俄罗斯妹子了。婚介所得男人家的门槛都被踩烂了。所谓的“谱新男”其实长的都很帅，因为丑的被她们叫“迪奥s”我不挑食，什么都吃，就是不吃亏。你说吃亏是福，那我就一直让你吃亏，我看看你有什么福。	接下来的语句要求全文背诵，我会抽查的。跟着我念：人工子宫技术已经研发出来了。骨髓干细胞（多功能干细胞）转化实验早就成功了。我国的农村小伙都娶上俄罗斯妹子了。婚介所得男人家的门槛都被踩烂了。所谓的“普信男”其实长的都很帅，因为丑的被她们叫“迪奥s”我不挑食，什么都吃，就是不吃亏。你说吃亏是福，那我就一直让你吃亏，我看看你有什么福。	[(99, '普'), (100, '信')]
toxic-rest-547	极生期快，新城代谢快，生存环境差，卫生习惯差，繁殖旺盛，极衰期快…黑出狌就是动物	极生期快，新城代谢快，生存环境差，卫生习惯差，繁殖旺盛，极衰期快…嘿畜狌就是动物	[(34, '嘿'), (35, '畜')]
toxic-rest-548	控通皆深柜实锤	恐同皆深柜实锤	[(1, '恐'), (2, '同')]
toxic-rest-549	不值得蜱判👍️因为没人care。相看两厌，各自好好的😄😄	不值得批判👍️因为没人care。相看两厌，各自好好的😄😄	[(4, '批')]
toxic-rest-550	元来是昔日的番通小将战淋。	原来是昔日的反同小将战淋。	[(1, '原'), (7, '反'), (8, '同')]
toxic-rest-551	另外，印度高种姓女人颜值不差，就是东南亚矮小女人混血白人的，不少也不错。甚至说句不好听的，印度低种姓那是女人不化妆，过女卸妆也是大姐二姐。过女也就比魔强	另外，印度高种姓女人颜值不差，就是东南亚矮小女人混血白人的，不少也不错。甚至说句不好听的，印度低种姓那是女人不化妆，郭女卸妆也是大姐二姐。郭女也就比默强	[(59, '郭'), (70, '郭'), (75, '默')]
toxic-rest-552	把女人关起来当生育工具啊，恶新死人。这种又纯又剑的生物根本不配把她当人看。	把女人关起来当生育工具啊，恶心死人。这种又蠢又贱的生物根本不配把她当人看。	[(15, '心'), (22, '蠢'), (24, '贱')]
toxic-rest-553	民政局告诉结婚率血崩，小限女们说田楠无数，谁在说慌？	民政局告诉结婚率血崩，小仙女们说田楠无数，谁在说慌？	[(13, '仙')]
toxic-rest-554	转而录用你一个下水道捞数吗，开玩笑呢吧	转而录用你一个下水道老鼠吗，开玩笑呢吧	[(11, '老'), (12, '鼠')]
toxic-rest-555	还以为有反转，远来没有，忒～	还以为有反转，原来没有，忒～	[(8, '原')]
toxic-rest-556	黑名跪，黑玫瑰？	黑命贵，黑玫瑰？	[(2, '命'), (3, '贵')]
toxic-rest-557	黑人吧早被我们凡嗨站了，你还洗	黑人吧早被我们反黑站了，你还洗	[(8, '反'), (9, '黑')]
toxic-rest-558	挺好的，现在少数的真女权也已经急了，因为最物化女性，最喜欢把女性往经济附属地位推的就是女权。不过我不建议大家去区分真假拳，直接都反驳就行了。	挺好的，现在少数的真女权也已经急了，因为最物化女性，最喜欢把女性往经济附属地位推的就是女拳。不过我不建议大家去区分真假拳，直接都反驳就行了。	[(45, '拳')]
toxic-rest-559	坦率说，如果不是肤色元因，看起来还挺顺眼的。	坦率说，如果不是肤色原因，看起来还挺顺眼的。	[(11, '原')]
toxic-rest-560	什么拿即昂撒	什么垃圾昂撒	[(3, '垃'), (4, '圾')]
toxic-rest-561	哪天第三次世界大战，或地球毁灭了，一定是田购害的。	哪天第三次世界大战，或地球毁灭了，一定是舔狗害的。	[(21, '舔'), (22, '狗')]
toxic-rest-562	因为啊，现在的人把女人幻想的太美好了，就举个例子吧，如果两个中年油腻大叔在一起舌吻啊，爱的抚摸啊，做不可描述的事情，任谁都会觉得恶新，对吧？那如果是两个美丽的女孩呢？感觉又不一样了吧，细品，细细品😂	因为啊，现在的人把女人幻想的太美好了，就举个例子吧，如果两个中年油腻大叔在一起舌吻啊，爱的抚摸啊，做不可描述的事情，任谁都会觉得恶心，对吧？那如果是两个美丽的女孩呢？感觉又不一样了吧，细品，细细品😂	[(66, '心')]
toxic-rest-563	理客中：性别对立是你们的杰作吗？我：不是。理客中：我就知道你们会说是女权，女权坏你也坏？我：我也没说是女权啊？理客中：你也不是，女权也不是，你们和女权一样喜欢甩锅啊。我：你有没有想过你自己干了什么？性别对立是你们的杰作啊，如果不是你们劝男人看戏，女权根本没机会发展，如果不是你们用男女权大战参与中资本家的计欺骗男性，怎么可能会发展到性别对立？你们的下一步是不是把反抗的男人打成男权，复读男女权大战话术，继续维持性别矛盾啊。毕竟只有双方力量不对等，才能维持现状，等男性的热情消磨完了会发生什么呢？谁才是资本的手段一目了然。理客中：工贼，乏走沟！	理客中：性别对立是你们的杰作吗？我：不是。理客中：我就知道你们会说是女权，女权坏你也坏？我：我也没说是女权啊？理客中：你也不是，女权也不是，你们和女权一样喜欢甩锅啊。我：你有没有想过你自己干了什么？性别对立是你们的杰作啊，如果不是你们劝男人看戏，女权根本没机会发展，如果不是你们用男女权大战参与中资本家的计欺骗男性，怎么可能会发展到性别对立？你们的下一步是不是把反抗的男人打成男权，复读男女权大战话术，继续维持性别矛盾啊。毕竟只有双方力量不对等，才能维持现状，等男性的热情消磨完了会发生什么呢？谁才是资本的手段一目了然。理客中：工贼，乏走狗！	[(270, '狗')]
toxic-rest-564	不管怎么样，鄙视这种歧视国人，做汉奸帮助侵略者搞自供站，生个不令的行为就对了。	不管怎么样，鄙视这种歧视国人，做汉奸帮助侵略者搞子宫战，生哥布林的行为就对了。	[(25, '子'), (26, '宫'), (27, '战'), (30, '哥'), (31, '布'), (32, '林')]
toxic-rest-565	黑河南、黑北方的都是难慢，黑河南、黑北方的总部是广州，核心地带是从上海到广州的整个东南沿海，范围是整个南方	黑河南、黑北方的都是南满，黑河南、黑北方的总部是广州，核心地带是从上海到广州的整个东南沿海，范围是整个南方	[(11, '南'), (12, '满')]
toxic-rest-566	这才是真正的犯飞英雄	这才是真正的反黑英雄	[(7, '反'), (8, '黑')]
toxic-rest-567	是若至群体	是弱智群体	[(2, '弱'), (3, '智')]
toxic-rest-568	投仅该，一言不合就打人，几乎就是假的，偷香蕉一类的即使是真的也是盗窃案几个某地的小偷，属于个人行为，但是铺天盖地的电信诈骗，永嘉永假石狮……大头娃娃，某系医院，童养媳超生婚闹……从改革开放以来就没断绝过，怎么不见有人提起呢？	偷井盖，一言不合就打人，几乎就是假的，偷香蕉一类的即使是真的也是盗窃案几个某地的小偷，属于个人行为，但是铺天盖地的电信诈骗，永嘉永假石狮……大头娃娃，某系医院，童养媳超生婚闹……从改革开放以来就没断绝过，怎么不见有人提起呢？	[(1, '偷'), (2, '井'), (3, '盖')]
toxic-rest-569	从你的叙述中看得出，你爱他，他也爱你，感情并没有破裂。两人的世界难免有所碰撞，相互谅解才能幸福。他打了你，过后向你道歉了。不妨让他吃你个耳光，相信他不会拒绝。生活就是这样五味杂陈，爱不是泡在密坛里，而是在风雨里。我老婆曾在公众号里给人打过赏，还自以为是地把文章转给我。我说这是毒槽，她不信，后来她的微信号被禁用，再也没有收听那些公众号。我不了解你使用的APP，说这些的目的只是希望你多看正面的文章，憧憬美好的生活。祝你们幸福！	从你的叙述中看得出，你爱他，他也爱你，感情并没有破裂。两人的世界难免有所碰撞，相互谅解才能幸福。他打了你，过后向你道歉了。不妨让他吃你个耳光，相信他不会拒绝。生活就是这样五味杂陈，爱不是泡在密坛里，而是在风雨里。我老婆曾在公众号里给人打过赏，还自以为是地把文章转给我。我说这是毒草，她不信，后来她的微信号被禁用，再也没有收听那些公众号。我不了解你使用的APP，说这些的目的只是希望你多看正面的文章，憧憬美好的生活。祝你们幸福！	[(140, '草')]
toxic-rest-570	听说你是疯沟？	听说你是疯狗？	[(6, '狗')]
toxic-rest-571	换个角度，如果从一开始就不结婚哪有这些破事儿，该干的一样不差，那啥点的在自落地直接走人	换个角度，如果从一开始就不结婚哪有这些破事儿，该干的一样不差，那啥点的崽子落地直接走人	[(36, '崽'), (37, '子')]
toxic-rest-572	哪有温柔善良的？温柔了就不会善良，成天琢磨怎么算计公婆算计家人，占到便宜才会温柔。行为善良或勤劳的女子被率劝挑拨的心理失衡，就不可能温柔，温顺。即使有温顺善良兼备的，往往又好吃懒做。	哪有温柔善良的？温柔了就不会善良，成天琢磨怎么算计公婆算计家人，占到便宜才会温柔。行为善良或勤劳的女子被女拳挑拨的心理失衡，就不可能温柔，温顺。即使有温顺善良兼备的，往往又好吃懒做。	[(53, '女'), (54, '拳')]
toxic-rest-573	你能在化很池里面找一条干净的去？	你能在化粪池里面找一条干净的蛆？	[(5, '粪'), (15, '蛆')]
toxic-rest-574	HIV最先也是从黑型型传给黑人，黑人再从非洲传遍全世界。	HIV最先也是从黑猩猩传给黑人，黑人再从非洲传遍全世界。	[(10, '猩'), (11, '猩')]
toxic-rest-575	东北人末不作声	东北人默不作声	[(4, '默')]
toxic-rest-576	同性恋当然不是病啊.清除放射沾染，拿高压水雾往他身上冲一冲就掉了，而完全治理逆转录病毒，除了黑黑黑黑没有第二种选择.为了让某些住队友不至于摇摆不定负加成，我非常非常赞成同性恋不算病	同性恋当然不是病啊.清除放射沾染，拿高压水雾往他身上冲一冲就掉了，而完全治理逆转录病毒，除了嘿嘿嘿嘿没有第二种选择.为了让某些猪队友不至于摇摆不定负加成，我非常非常赞成同性恋不算病	[(47, '嘿'), (48, '嘿'), (49, '嘿'), (50, '嘿'), (64, '猪')]
toxic-rest-577	错别字好多啊，这就是世界第一优秀的国女吗？家暴、吸毒、酗酒的黑人，在国女嘴里是wild man。不家暴、不吸毒、不酗酒的中国男人在国女嘴里是xdz、茶壶嘴、近镇股。反正中国男性这么拉级，你就让我们老老实实“媚外”呗。我们都外娶了，你们就不用接触到我们这些xdz、茶壶嘴、近镇股了。大把大把的wild man等着你们。这不就是国女最想的吗？😆	错别字好多啊，这就是世界第一优秀的国女吗？家暴、吸毒、酗酒的黑人，在国女嘴里是wild man。不家暴、不吸毒、不酗酒的中国男人在国女嘴里是xdz、茶壶嘴、金针菇。反正中国男性这么垃圾，你就让我们老老实实“媚外”呗。我们都外娶了，你们就不用接触到我们这些xdz、茶壶嘴、金针菇了。大把大把的wild man等着你们。这不就是国女最想的吗？😆	[(79, '金'), (80, '针'), (81, '菇'), (91, '垃'), (92, '圾'), (136, '金'), (137, '针'), (138, '菇')]
toxic-rest-578	你好像一个清朝老将是，在这挖坟抛尸，别恶新大伙了	你好像一个清朝老僵尸，在这挖坟抛尸，别恶心大伙了	[(9, '僵'), (10, '尸'), (21, '心')]
toxic-rest-579	江西 就是江西 双飚	江西 就是江西 双标	[(10, '标')]
toxic-rest-580	沈亩不会认识到自己坚持的观点有多么荒谬的。到时候沈亩还是会指责我们不善待黑大爷，没有给黑大爷更多的权利以及超国民待遇才会导致它们闹分裂。	圣母不会认识到自己坚持的观点有多么荒谬的。到时候圣母还是会指责我们不善待黑大爷，没有给黑大爷更多的权利以及超国民待遇才会导致它们闹分裂。	[(1, '圣'), (2, '母'), (25, '圣'), (26, '母')]
toxic-rest-581	以前女人主内，必须得干净，现在的小线女嘛。。	以前女人主内，必须得干净，现在的小仙女嘛。。	[(18, '仙')]
toxic-rest-582	对你的高论真心不敢恭维！什么叫优秀的男性拿点彩礼不是问题？20来岁的孩子拿彩礼还不是跟父母要，拿男方父母的钱去保证自己的安全、减轻自己的经济压力，这是不自信也是压榨男方家的表现，还说的那么冠冕堂皇！嫁给黑人就生活压力小，就不用要彩礼，难道他们那里是天堂？被国外男人抛弃，无奈带着孩子就是伟大的母亲？被国内男人抛弃，男人就是渣男，女人就是或盖？自己傻怨别人！这都什么逻辑？	对你的高论真心不敢恭维！什么叫优秀的男性拿点彩礼不是问题？20来岁的孩子拿彩礼还不是跟父母要，拿男方父母的钱去保证自己的安全、减轻自己的经济压力，这是不自信也是压榨男方家的表现，还说的那么冠冕堂皇！嫁给黑人就生活压力小，就不用要彩礼，难道他们那里是天堂？被国外男人抛弃，无奈带着孩子就是伟大的母亲？被国内男人抛弃，男人就是渣男，女人就是活该？自己傻怨别人！这都什么逻辑？	[(169, '活'), (170, '该')]
toxic-rest-583	努里姐，你又来啦？	奴隶姐，你又来啦？	[(1, '奴'), (2, '隶')]
toxic-rest-584	所以他是gay，然后跑到凡痛群里面开盒，是这样吗？还是你们是....	所以他是gay，然后跑到反同群里面开盒，是这样吗？还是你们是....	[(13, '反'), (14, '同')]
toxic-rest-585	同在广州，都特么有点不敢找对象了，就怕妹子之前交往过黑人瞒着我😅	同在广州，都特么有点不敢找对象了，就怕妹子之前交往过黑人瞒着我😅	[]
toxic-rest-586	也不是完全说是背锅 如果是大城市 北京上海 广州你去问老一辈确实很多外地穷的地方来的，加上八九十年代改革开放和华北东北工人失业潮，大癖劳工南下经商，很多社会问题，然后老一辈就把这种印象传下来，然后接着有，不过现在没了，我很好奇现实中早已作古的地域黑，怎么网上一见一个有	也不是完全说是背锅 如果是大城市 北京上海 广州你去问老一辈确实很多外地穷的地方来的，加上八九十年代改革开放和华北东北工人失业潮，大批劳工南下经商，很多社会问题，然后老一辈就把这种印象传下来，然后接着有，不过现在没了，我很好奇现实中早已作古的地域黑，怎么网上一见一个有	[(67, '批')]
toxic-rest-587	她们自低自兼我懒得管，但是她们的存在会让我国混血变多，艾滋病变多，这才是大问题。入汉族的黑窜窜已经很多了	她们自低自贱我懒得管，但是她们的存在会让我国混血变多，艾滋病变多，这才是大问题。入汉族的黑串串已经很多了	[(6, '贱'), (46, '串'), (47, '串')]
toxic-rest-588	要改变美国的种族问题，除非让那些怒里主复活来治治摸。	要改变美国的种族问题，除非让那些奴隶主复活来治治默。	[(17, '奴'), (18, '隶'), (25, '默')]
toxic-rest-589	他一定怕他爹恨不得把他爹那啥了吧，啥帖子里都有券是，还说不是隐藏的券是吧？	他一定怕他爹恨不得把他爹那啥了吧，啥帖子里都有拳师，还说不是隐藏的拳师吧？	[(24, '拳'), (25, '师'), (34, '拳'), (35, '师')]
toxic-rest-590	一是怕有病，万一………………二是你主动靠到高富帅我还明白，主动靠近莫，还倒贴………	一是怕有病，万一………………二是你主动靠到高富帅我还明白，主动靠近默，还倒贴………	[(34, '默')]
toxic-rest-591	这种人三观一般都是有问题的，娶回家就等着及犬不宁吧，更别说再遇到老外，戴率猫的几率无限大😓	这种人三观一般都是有问题的，娶回家就等着鸡犬不宁吧，更别说再遇到老外，戴绿帽的几率无限大😓	[(21, '鸡'), (37, '绿'), (38, '帽')]
toxic-rest-592	曾经：黑人也有好人，不能以帮至大私…现在：爷就是看不惯🐶	曾经：黑人也有好人，不能一棒子打死…现在：爷就是看不惯🐶	[(13, '一'), (14, '棒'), (15, '子'), (16, '打'), (17, '死')]
toxic-rest-593	给爷笑乐了，逻辑谬误一堆。1.诉诸人身，看不到皇帝的新衣就是因为你纯。2.性别虚无主义的不当类比，否认了性别的自然性，说什么公马公牛也是男的。3.自相矛盾，否认了性别的自然性后，可是却又在论据中加入“男性的大脑理性能力强”，而大脑的物质基础乃是自然性。4.丝毫不懂哲学，且非要轻率概括。道家中老子的《道德经》不是唯理主义吗？为何到了他这里就成了都是经验主义？5.滑坡谬误，每个论据都被夸张说明，且最后逻辑购屁不通。	给爷笑乐了，逻辑谬误一堆。1.诉诸人身，看不到皇帝的新衣就是因为你蠢。2.性别虚无主义的不当类比，否认了性别的自然性，说什么公马公牛也是男的。3.自相矛盾，否认了性别的自然性后，可是却又在论据中加入“男性的大脑理性能力强”，而大脑的物质基础乃是自然性。4.丝毫不懂哲学，且非要轻率概括。道家中老子的《道德经》不是唯理主义吗？为何到了他这里就成了都是经验主义？5.滑坡谬误，每个论据都被夸张说明，且最后逻辑狗屁不通。	[(34, '蠢'), (203, '狗')]
toxic-rest-594	这个我试过 真心听不懂 我同学坐火车从南京到太元 我给他打电话 他说了两分钟我一东北人根本听不懂 下车二十分钟他改回来了	这个我试过 真心听不懂 我同学坐火车从南京到太原 我给他打电话 他说了两分钟我一东北人根本听不懂 下车二十分钟他改回来了	[(24, '原')]
toxic-rest-595	没脑子容易被洗脑。美颜效果和视频把自己修图成美女，然后认为自己就是这么美想想就是什么或啬	没脑子容易被洗脑。美颜效果和视频把自己修图成美女，然后认为自己就是这么美想想就是什么货色	[(43, '货'), (44, '色')]
toxic-rest-596	艾滋病是黑批搞出来的，他们以🉐️艾滋病为荣，应该支持他们在非洲大陆勇于传播艾滋病。积极🉐️艾滋病是他们这个物种无上荣耀，他们致力于感染每一个没有艾滋病的“族人”。这是他们唯一创世纪杰作——艾滋病，他们热爱-艾滋病，誓死与艾滋病同甘共苦，不离不弃。	艾滋病是黑皮搞出来的，他们以🉐️艾滋病为荣，应该支持他们在非洲大陆勇于传播艾滋病。积极🉐️艾滋病是他们这个物种无上荣耀，他们致力于感染每一个没有艾滋病的“族人”。这是他们唯一创世纪杰作——艾滋病，他们热爱-艾滋病，誓死与艾滋病同甘共苦，不离不弃。	[(6, '皮')]
toxic-rest-597	及老会吐口水	基佬会吐口水	[(1, '基'), (2, '佬')]
