CHSD-0	这男的这么拉级都能和好	这男的这么垃圾都能和好	[(6, '垃'), (7, '圾')]
CHSD-1577	本来就是一种歧视，本质上想表达的就是“我们和你们不一样，我们发达你们落后”。为什么有的光动人甚至把海男当北方？不就是因为海男穷么。就算现在歧视意味逐渐减少，也改变不了这种没常识的划分法元本是出于歧视目才提出的事实	本来就是一种歧视，本质上想表达的就是“我们和你们不一样，我们发达你们落后”。为什么有的广东人甚至把海南当北方？不就是因为海南穷么。就算现在歧视意味逐渐减少，也改变不了这种没常识的划分法原本是出于歧视目才提出的事实	[(44, '广'), (45, '东'), (51, '南'), (62, '南'), (93, '原')]
CHSD-1578	黄皮向干人去英国毫无优势，除了被歧视还是被歧视，地位比黑仍还低。	黄皮香港人去英国毫无优势，除了被歧视还是被歧视，地位比黑人还低。	[(3, '香'), (4, '港'), (29, '人')]
CHSD-1579	当然怕了，死于其他嗨人暴力犯罪的嗨人数量远高于死于其他族裔暴力犯罪的，警察一年才杀几个嗨人，	当然怕了，死于其他黑人暴力犯罪的黑人数量远高于死于其他族裔暴力犯罪的，警察一年才杀几个黑人，	[(10, '黑'), (17, '黑'), (44, '黑')]
CHSD-1580	您的评论让从来不客观的中二我有点懵逼 ，一脸非人问号……我就问一个语文问题吧：您区分得出“皮评”与“骂人”的区别吗？您觉得说一个身体健全的成年男子“站都站不直、是女里女气的孃抛”是正当皮评还是人身攻击？	您的评论让从来不客观的中二我有点懵逼 ，一脸黑人问号……我就问一个语文问题吧：您区分得出“批评”与“骂人”的区别吗？您觉得说一个身体健全的成年男子“站都站不直、是女里女气的娘炮”是正当批评还是人身攻击？	[(23, '黑'), (46, '批'), (87, '娘'), (88, '炮'), (93, '批')]
CHSD-1581	说一句不好听的，我见到的话任互相歧视的比外国人歧视我们的多得多且严重。	说一句不好听的，我见到的华人互相歧视的比外国人歧视我们的多得多且严重。	[(13, '华'), (14, '人')]
CHSD-1582	日本的女型在职场非常受歧视，女还子基本上都是全职太太，全职太太是没有经济来源的，很多日本难人并不理解自己的妻子，不上班无经济收入，所以日本男尊女卑，现在砖家就是想把中国女还也弄成日本女还那样，找不到工作就只能结婚，	日本的女性在职场非常受歧视，女孩子基本上都是全职太太，全职太太是没有经济来源的，很多日本男人并不理解自己的妻子，不上班无经济收入，所以日本男尊女卑，现在砖家就是想把中国女孩也弄成日本女孩那样，找不到工作就只能结婚，	[(5, '性'), (16, '孩'), (45, '男'), (86, '孩'), (93, '孩')]
CHSD-1583	我觉得人本身就是没法控制自己的感觉的，喜欢男的喜欢女的都会有感觉也是，难道说你可以因为这种没办法左右的东西去匹判ta?	我觉得人本身就是没法控制自己的感觉的，喜欢男的喜欢女的都会有感觉也是，难道说你可以因为这种没办法左右的东西去批判ta?	[(55, '批')]
CHSD-1584	何况我说过了，那只是警告而已。我最不喜欢看见的就是在别人的地盘上面，自作主张了。我见过太多的汰万人干这么恶型的事了。所以只是希望你矜持一点而已。你没有现在干不代表你以后不会干。	何况我说过了，那只是警告而已。我最不喜欢看见的就是在别人的地盘上面，自作主张了。我见过太多的台湾人干这么恶心的事了。所以只是希望你矜持一点而已。你没有现在干不代表你以后不会干。	[(47, '台'), (48, '湾'), (54, '心')]
CHSD-1585	重申：特讨厌说光栋人吃副剪人这样的所谓笑话，无脑人说的话与方皮一样臭，见一次折叠一次！	重申：特讨厌说广东人吃福建人这样的所谓笑话，无脑人说的话与放屁一样臭，见一次折叠一次！	[(8, '广'), (9, '东'), (12, '福'), (13, '建'), (30, '放'), (31, '屁')]
CHSD-1586	我是不太同情黑扔的，飞名贵了，也不能是飞名独贵吧？	我是不太同情黑人的，黑命贵了，也不能是黑命独贵吧？	[(8, '人'), (11, '黑'), (12, '命'), (20, '黑'), (21, '命')]
CHSD-1587	女仆长你元来是这种女仆	女仆长你原来是这种女仆	[(5, '原')]
CHSD-1588	黑任犯罪率是其他群体十倍，以至于警察哪怕黑任警察看见年轻黑任都紧张，而且很多被杀的黑任本身就是逃犯，只不过升亩刻意炒作罢了，	黑人犯罪率是其他群体十倍，以至于警察哪怕黑人警察看见年轻黑人都紧张，而且很多被杀的黑人本身就是逃犯，只不过圣母刻意炒作罢了，	[(2, '人'), (22, '人'), (30, '人'), (43, '人'), (54, '圣'), (55, '母')]
CHSD-1589	美国嘿人用了很多很多很多代吧？从被贩卖成怒你的那天算起，也得有个几百年。	美国黑人用了很多很多很多代吧？从被贩卖成奴隶的那天算起，也得有个几百年。	[(3, '黑'), (21, '奴'), (22, '隶')]
CHSD-1590	我寻思White,House这名字就挺恶新人的，建议改成Trump,Square。,从现在开始，这个地方叫做特朗普广场。,更新一下两个petition的最新结果：,大多数人还是觉得不给嗨任特权就开除教授这种事，	我寻思White,House这名字就挺恶心人的，建议改成Trump,Square。,从现在开始，这个地方叫做特朗普广场。,更新一下两个petition的最新结果：,大多数人还是觉得不给黑人特权就开除教授这种事，	[(21, '心'), (93, '黑'), (94, '人')]
CHSD-1591	很多率任不明白，之前天天达全打赢百战百胜，拿下舆论这么简单，不是因为她们厉害，而是难星从小受到的教育就是要让着女新。	很多女人不明白，之前天天打拳打赢百战百胜，拿下舆论这么简单，不是因为她们厉害，而是男性从小受到的教育就是要让着女性。	[(3, '女'), (4, '人'), (13, '打'), (14, '拳'), (42, '男'), (43, '性'), (57, '性')]
CHSD-1592	在AV里嗨人扮演了购的角色，是迎合观众那种“男主越丑看得越爽”的心态。	在AV里黑人扮演了狗的角色，是迎合观众那种“男主越丑看得越爽”的心态。	[(5, '黑'), (10, '狗')]
CHSD-1593	费人只屈服于暴力，所以他们害怕美国警察	黑人只屈服于暴力，所以他们害怕美国警察	[(1, '黑')]
CHSD-1594	黑仍的脏辫，离进了闻着真恶新	黑人的脏辫，离进了闻着真恶心	[(2, '人'), (14, '心')]
CHSD-1595	因赌人这个摇头晃脑真魔性	印度人这个摇头晃脑真魔性	[(1, '印'), (2, '度')]
CHSD-1596	元来我央央大中华是歧视揽型的	原来我央央大中华是歧视男性的	[(1, '原'), (12, '男'), (13, '性')]
CHSD-1597	外低人在公交车里听见两个中请人在吵架，只听懂了妈卖啤三个字	外地人在公交车里听见两个重庆人在吵架，只听懂了妈卖批三个字	[(2, '地'), (13, '重'), (14, '庆'), (26, '批')]
CHSD-1598	请务必好好活下去，每次看到这种消息，我就觉得这种难任就是个渣，说句不好听的，花钱去找个自愿的及不好吗？伤天害理，一定要受法律严惩	请务必好好活下去，每次看到这种消息，我就觉得这种男人就是个渣，说句不好听的，花钱去找个自愿的鸡不好吗？伤天害理，一定要受法律严惩	[(25, '男'), (26, '人'), (47, '鸡')]
CHSD-1599	张学良还是有一定功绩的:栋被易帜。 当然九一八实在恶型。 蒋介石签了何梅协定这样的卖国协定，但一个抗战打赢就可以掩盖这些丑闻。 张学良要是跟着老蒋挺到抗战结束，战后重返栋被，估计也能得到稍好的评价。	张学良还是有一定功绩的:东北易帜。 当然九一八实在恶心。 蒋介石签了何梅协定这样的卖国协定，但一个抗战打赢就可以掩盖这些丑闻。 张学良要是跟着老蒋挺到抗战结束，战后重返东北，估计也能得到稍好的评价。	[(13, '东'), (14, '北'), (27, '心'), (85, '东'), (86, '北')]
CHSD-1600	他们反驳我的GDP论竟然是，你们和难人把投净该儿当信仰！十八岁成人礼了偷个井盖儿吧，不然不算成年。看谁在村里德高望重就是看谁囤的井盖儿多。话说到这儿，基本都是开玩笑玩儿啦	他们反驳我的GDP论竟然是，你们河南人把偷井盖儿当信仰！十八岁成人礼了偷个井盖儿吧，不然不算成年。看谁在村里德高望重就是看谁囤的井盖儿多。话说到这儿，基本都是开玩笑玩儿啦	[(17, '河'), (18, '南'), (21, '偷'), (22, '井'), (23, '盖')]
CHSD-1601	豆瓣的天原屡圈，已经到了恶新的地步了。前进一步也是进步，在女圈眼里率星地位不能和南券一样就是落后	豆瓣的田园女权，已经到了恶心的地步了。前进一步也是进步，在女权眼里女性地位不能和男权一样就是落后	[(4, '田'), (5, '园'), (6, '女'), (7, '权'), (14, '心'), (31, '权'), (34, '女'), (35, '性'), (41, '男'), (42, '权')]
CHSD-1602	对，大灰狼搞大灰狼，小白兔搞小白兔，貌似影响不到。但就像和兰人投经该这种地图炮一样，可能就一两个人这么干了，凭什么要让所有和兰人背上这个锅	对，大灰狼搞大灰狼，小白兔搞小白兔，貌似影响不到。但就像河南人偷井盖这种地图炮一样，可能就一两个人这么干了，凭什么要让所有河南人背上这个锅	[(29, '河'), (30, '南'), (32, '偷'), (33, '井'), (34, '盖'), (62, '河'), (63, '南')]
CHSD-1603	你这个逻辑有对的地方吗 我们讽刺的是女全只敢对自己有益的地方大权 大山里上不了学的女省 被家暴的中年女型 被歧视的白领 中国女全帮过哪个 只敢在网上用键盘大权	你这个逻辑有对的地方吗 我们讽刺的是女权只敢对自己有益的地方打拳 大山里上不了学的女生 被家暴的中年女性 被歧视的白领 中国女权帮过哪个 只敢在网上用键盘打拳	[(20, '权'), (31, '打'), (32, '拳'), (43, '生'), (52, '性'), (64, '权'), (78, '打'), (79, '拳')]
CHSD-1604	我只想问一个问题，你们和烂人就会头净该， 不过没骂你，就骂部分和烂人， 你为什么要对号入座？难道你真的偷了井盖？	我只想问一个问题，你们河南人就会偷井盖， 不过没骂你，就骂部分河南人， 你为什么要对号入座？难道你真的偷了井盖？	[(12, '河'), (13, '南'), (17, '偷'), (18, '井'), (19, '盖'), (32, '河'), (33, '南')]
CHSD-1605	天啊，竟然还有人吹三董，吹海尔，不看看现在三董都落后成什么样子了，我一个三董人都恨其不争，答主你要是高端黑也就算了，可看你一本正经的胡说八道，你不是醇就是坏	天啊，竟然还有人吹山东，吹海尔，不看看现在山东都落后成什么样子了，我一个山东人都恨其不争，答主你要是高端黑也就算了，可看你一本正经的胡说八道，你不是蠢就是坏	[(10, '山'), (11, '东'), (22, '山'), (23, '东'), (37, '山'), (38, '东'), (75, '蠢')]
CHSD-1606	美国从来没有非名贵，只有犹名归。	美国从来没有黑命贵，只有犹命贵。	[(7, '黑'), (8, '命'), (14, '命'), (15, '贵')]
CHSD-1607	种过仍其实并不在意美国乱，我们只是希望恶新我们的人都不得house	中国人其实并不在意美国乱，我们只是希望恶心我们的人都不得house	[(1, '中'), (2, '国'), (3, '人'), (21, '心')]
CHSD-1608	最惨就是我这种南京袁下辖县的，不敢像素倍那么搞，也没城区的路子。	最惨就是我这种南京原下辖县的，不敢像苏北那么搞，也没城区的路子。	[(10, '原'), (19, '苏'), (20, '北')]
CHSD-1609	…好恶新，给上还人丢脸[生气]	…好恶心，给上海人丢脸[生气]	[(4, '心'), (8, '海')]
CHSD-1610	想看非任演的一如、7维拉7维丽，还有呗人演的魔狗斯跟索隆	想看黑人演的一如、7维拉7维丽，还有白人演的魔苟斯跟索隆	[(3, '黑'), (4, '人'), (19, '白'), (24, '苟')]
CHSD-1611	「很多和难人都头经该，很多逛洞人都吃小孩」，你觉得和难人会爽？逛洞人会爽？（因举此例向和难人和逛洞人道歉）	「很多河南人都偷井盖，很多广东人都吃小孩」，你觉得河南人会爽？广东人会爽？（因举此例向河南人和广东人道歉）	[(4, '河'), (5, '南'), (8, '偷'), (9, '井'), (10, '盖'), (14, '广'), (15, '东'), (26, '河'), (27, '南'), (32, '广'), (33, '东'), (44, '河'), (45, '南'), (48, '广'), (49, '东')]
CHSD-1612	哈哈哈你是他黑粉吧 我一眼就看出来你故意黑任家的 我看前面点赞高的都没人李易峰 说明人家没人设啊 你硬加的人设真的恶新	哈哈哈你是他黑粉吧 我一眼就看出来你故意黑人家的 我看前面点赞高的都没人李易峰 说明人家没人设啊 你硬加的人设真的恶心	[(22, '人'), (59, '心')]
CHSD-1613	国家落后的话你个人再怎么条件优越人家都能给你挑点刺出来，光动人只是背锅的罢了。要是那时候以敏过去的大多数都是北方人，杨达仍不照样给你找点缺点出来。百人狐臭率奇高你知道吗？一直不见有百人因此受到歧视是为什么呢？	国家落后的话你个人再怎么条件优越人家都能给你挑点刺出来，广东人只是背锅的罢了。要是那时候移民过去的大多数都是北方人，洋大人不照样给你找点缺点出来。白人狐臭率奇高你知道吗？一直不见有白人因此受到歧视是为什么呢？	[(29, '广'), (30, '东'), (45, '移'), (46, '民'), (59, '洋'), (60, '大'), (61, '人'), (74, '白'), (91, '白')]
CHSD-1614	看看你们的评论，怎么可以对美国人这样呢，没有礼貌没有素质，人家可是来中国支持中国教育的。哎给氧达任的心都弄凉了！孩子不懂事都是家长惯的，刚来中国的时候他不是这样的，现在变成这样，	看看你们的评论，怎么可以对美国人这样呢，没有礼貌没有素质，人家可是来中国支持中国教育的。哎给洋大人的心都弄凉了！孩子不懂事都是家长惯的，刚来中国的时候他不是这样的，现在变成这样，	[(47, '洋'), (48, '大'), (49, '人')]
CHSD-1615	所以说这些从种植园中解放出来的嗨撸后代根本不想消灭怒你制，他们只是想把呗人变成怒你而已	所以说这些从种植园中解放出来的黑奴后代根本不想消灭奴隶制，他们只是想把白人变成奴隶而已	[(16, '黑'), (17, '奴'), (26, '奴'), (27, '隶'), (36, '白'), (40, '奴'), (41, '隶')]
CHSD-1616	不明白中组其是为什么被说的如此罪恶，中过仍厌恶嗨任怎么了？不能？人美国人买卖路里嗨任，还歧视嗨任是指把嗨任不当人，继续受到不公对待，那确实不是人,。中国怎么了？我们拒绝非法入境，感情的事也都是自己去尝试不行就算了。	不明白种族歧视为什么被说的如此罪恶，中国人厌恶黑人怎么了？不能？人美国人买卖奴隶黑人，还歧视黑人是指把黑人不当人，继续受到不公对待，那确实不是人,。中国怎么了？我们拒绝非法入境，感情的事也都是自己去尝试不行就算了。	[(4, '种'), (5, '族'), (6, '歧'), (7, '视'), (20, '国'), (21, '人'), (24, '黑'), (25, '人'), (39, '奴'), (40, '隶'), (41, '黑'), (42, '人'), (47, '黑'), (48, '人'), (52, '黑'), (53, '人')]
CHSD-1617	柠檬馅儿：现实/网络上，栋被人不会因为低与嗨等诽谤而心寒么？	柠檬馅儿：现实/网络上，东北人不会因为地域黑等诽谤而心寒么？	[(13, '东'), (14, '北'), (20, '地'), (21, '域'), (22, '黑')]
CHSD-1618	关心锤子，外网上面的贵资全都是辱华的。捐口罩也是前期日本还没有爆发，后期爆发了，药店都贴上了不给中过任买口罩的类似字眼。我算是看明白了，估计就是前期存货多，搞顺水人情。	关心锤子，外网上面的鬼子全都是辱华的。捐口罩也是前期日本还没有爆发，后期爆发了，药店都贴上了不给中国人买口罩的类似字眼。我算是看明白了，估计就是前期存货多，搞顺水人情。	[(11, '鬼'), (12, '子'), (50, '国'), (51, '人')]
CHSD-1619	“第二次约会了还不让身体接触”我真的吐了，这种恶性的人和我们唾弃的嗨仍有什么区别。洋妞爱好者，其实就是骗炮渣男而已	“第二次约会了还不让身体接触”我真的吐了，这种恶心的人和我们唾弃的黑人有什么区别。洋妞爱好者，其实就是骗炮渣男而已	[(25, '心'), (34, '黑'), (35, '人')]
CHSD-1620	我不是栏升，但还是想来回答。	我不是男生，但还是想来回答。	[(4, '男'), (5, '生')]
CHSD-1621	看完更新，仍然觉得你就是第与黑，遇上这么一家奇葩就一棍子打死所有善懂人，那你们桑还人就全部都知书达理？就一个奇葩都没有？满屏优越感，全是对善懂的不屑，你确定不是因为你公婆看不上你吗才这样的吗？	看完更新，仍然觉得你就是地域黑，遇上这么一家奇葩就一棍子打死所有山东人，那你们上海人就全部都知书达理？就一个奇葩都没有？满屏优越感，全是对山东的不屑，你确定不是因为你公婆看不上你吗才这样的吗？	[(13, '地'), (14, '域'), (33, '山'), (34, '东'), (40, '上'), (41, '海'), (70, '山'), (71, '东')]
CHSD-1622	黑人做路里还勤勤恳恳创造价值，自由之后就是混吃等死伸手要福利……	黑人做奴隶还勤勤恳恳创造价值，自由之后就是混吃等死伸手要福利……	[(4, '奴'), (5, '隶')]
CHSD-1623	要是美国沟也能投票，沟名轨不是不可能	要是美国狗也能投票，狗命贵不是不可能	[(5, '狗'), (11, '狗'), (12, '命'), (13, '贵')]
CHSD-1624	我只能说男不男女不女的人要	我只能说男不男女不女的人妖	[(13, '妖')]
CHSD-1625	牙以被歧视时你在何处贵干？这时候站出来充当圣牧表？！希望你当一个有底线的键盘侠！	亚裔被歧视时你在何处贵干？这时候站出来充当圣母婊？！希望你当一个有底线的键盘侠！	[(1, '亚'), (2, '裔'), (23, '母'), (24, '婊')]
CHSD-1626	“身边是这些人恐怕答主自己也不怎么干净” “被人家猥亵肯定是这女娃穿的嫂” “一个巴掌拍不响，无缘无故他为什么欺负你？” “铜型链有艾滋病，离他们远点” “打发点吧，……你穿这么好，就只给我一块钱啊？” 费人问号.jpg	“身边是这些人恐怕答主自己也不怎么干净” “被人家猥亵肯定是这女娃穿的骚” “一个巴掌拍不响，无缘无故他为什么欺负你？” “同性恋有艾滋病，离他们远点” “打发点吧，……你穿这么好，就只给我一块钱啊？” 黑人问号.jpg	[(36, '骚'), (63, '同'), (64, '性'), (65, '恋'), (103, '黑')]
CHSD-1627	呵呵了，你见过海外同胞被嗨人歧视吗？别深亩了	呵呵了，你见过海外同胞被黑人歧视吗？别圣母了	[(13, '黑'), (20, '圣'), (21, '母')]
CHSD-1628	所以你是来皮判“种过人的劣根性”的？骂嗨人的和抵制洋啦即的是不是一皮人你都不知道，你就来骂别个双表！我不骂嗨人，我可以支持洋啦即被封号不？	所以你是来批判“中国人的劣根性”的？骂黑人的和抵制洋垃圾的是不是一批人你都不知道，你就来骂别个双标！我不骂黑人，我可以支持洋垃圾被封号不？	[(6, '批'), (9, '中'), (10, '国'), (20, '黑'), (27, '垃'), (28, '圾'), (34, '批'), (49, '标'), (54, '黑'), (63, '垃'), (64, '圾')]
CHSD-1629	别在意!说明我们和篮人还有进步空间，还有自省的机会，而“歧视”一般都是对方尚未成熟的包容心，和篮人，要好好给自己撑脸面，给和篮人长志气，因为你的努力进步和别人对你的态度没有直接关系，因为嫌弃所以远离，因为嫌弃，我们奋起直追，知耻而后勇不是吗？	别在意!说明我们河南人还有进步空间，还有自省的机会，而“歧视”一般都是对方尚未成熟的包容心，河南人，要好好给自己撑脸面，给河南人长志气，因为你的努力进步和别人对你的态度没有直接关系，因为嫌弃所以远离，因为嫌弃，我们奋起直追，知耻而后勇不是吗？	[(9, '河'), (10, '南'), (47, '河'), (48, '南'), (62, '河'), (63, '南')]
CHSD-1630	真是便台，不说男女了，都是人类，这简直心里便台呀，听着都恶新。	真是变态，不说男女了，都是人类，这简直心里变态呀，听着都恶心。	[(3, '变'), (4, '态'), (22, '变'), (23, '态'), (30, '心')]
CHSD-1631	都说的这么清楚了还没人知道缘由，你是看不懂汉字吗？粉丝行为偶像买单不就是娱乐圈的一向作风吗？这么到你家爽姐这就没有意思了？一定有部分和蓝人投经该了，不然空穴来风吗？你真的是逻辑鬼才啊！	都说的这么清楚了还没人知道缘由，你是看不懂汉字吗？粉丝行为偶像买单不就是娱乐圈的一向作风吗？这么到你家爽姐这就没有意思了？一定有部分河南人偷井盖了，不然空穴来风吗？你真的是逻辑鬼才啊！	[(67, '河'), (68, '南'), (70, '偷'), (71, '井'), (72, '盖')]
CHSD-1632	巧了，我上系在将硒上大学，给我恶新吐了，两公里路要我30还有5块钱停车费，将硒人大部分想钱想疯了，就连本地人（我们老师）都说将硒人坑外抵人是出了名的	巧了，我山西在江西上大学，给我恶心吐了，两公里路要我30还有5块钱停车费，江西人大部分想钱想疯了，就连本地人（我们老师）都说江西人坑外地人是出了名的	[(5, '山'), (6, '西'), (8, '江'), (9, '西'), (17, '心'), (38, '江'), (39, '西'), (63, '江'), (64, '西'), (68, '地')]
CHSD-1633	先女我真的只认刘亦菲，郑爽的粉丝怎么好意思叫她小先女？30了，哪儿仙了？	仙女我真的只认刘亦菲，郑爽的粉丝怎么好意思叫她小仙女？30了，哪儿仙了？	[(1, '仙'), (25, '仙')]
CHSD-1634	就是硬性要求得是个黄中人[飙泪笑]不过老实说，行过人毕竟思想啊生活习惯啊还跟我们比较接近的，英国人就确实远了一点，你爸可能也是这样考虑的吧[飙泪笑]我不知道如果我真的带了个外过仍回来我们家会是怎么样，可能我妈要重新拿起英语书了[飙泪笑]	就是硬性要求得是个黄种人[飙泪笑]不过老实说，韩国人毕竟思想啊生活习惯啊还跟我们比较接近的，英国人就确实远了一点，你爸可能也是这样考虑的吧[飙泪笑]我不知道如果我真的带了个歪果仁回来我们家会是怎么样，可能我妈要重新拿起英语书了[飙泪笑]	[(11, '种'), (24, '韩'), (25, '国'), (87, '歪'), (88, '果'), (89, '仁')]
CHSD-1635	啊这，日行这么歧视非认怎么还有黑名贵运动?	啊这，日韩这么歧视黑人怎么还有黑命贵运动?	[(5, '韩'), (10, '黑'), (11, '人'), (17, '命')]
CHSD-1636	呀已被歧视啊……	亚裔被歧视啊……	[(1, '亚'), (2, '裔')]
CHSD-1637	说实在的，女劝可以歧视任何人群，因为她们的目标是获取特权，获取不属于自己的利益，目前挡在她们面前的是难型所以他们拳难型。	说实在的，女拳可以歧视任何人群，因为她们的目标是获取特权，获取不属于自己的利益，目前挡在她们面前的是男性所以他们拳男性。	[(7, '拳'), (51, '男'), (52, '性'), (58, '男'), (59, '性')]
CHSD-1638	得，歧视女型是歧视女型，歧视难形也是歧视女型。	得，歧视女性是歧视女性，歧视男性也是歧视女性。	[(6, '性'), (11, '性'), (15, '男'), (16, '性'), (22, '性')]
CHSD-1639	对考生恶语相向的人里有些是北大学生 -&gt; 整个学校对考生态度不友好，某些投京该的人是和难人 -&gt; 和难人都投京该，这个逻辑你自己品一品，能不能成立。	对考生恶语相向的人里有些是北大学生 -&gt; 整个学校对考生态度不友好，某些偷井盖的人是河南人 -&gt; 河南人都偷井盖，这个逻辑你自己品一品，能不能成立。	[(40, '偷'), (41, '井'), (42, '盖'), (46, '河'), (47, '南'), (56, '河'), (57, '南'), (60, '偷'), (61, '井'), (62, '盖')]
CHSD-1640	太好了 我已经看到中国崛起的希望了 按照这种教育差距 不出多久我国必能先美国10年研发出类似源子弹的跨时代质变的新型武器 直接一统地球 整个地球可改名华夏 呗人非人皆为二等公民 以小博大 紧张刺激 还有....	太好了 我已经看到中国崛起的希望了 按照这种教育差距 不出多久我国必能先美国10年研发出类似原子弹的跨时代质变的新型武器 直接一统地球 整个地球可改名华夏 白人黑人皆为二等公民 以小博大 紧张刺激 还有....	[(47, '原'), (79, '白'), (81, '黑')]
CHSD-1641	只说一点，因杜任在简历造假面试撒谎包庇同族这类事情上才是行家，这也是他们为什么能在硅谷混的风生水起的元因之一，看看每年h1b有多少是给了印度皮包公司就好了。总过仍斗不过他们不是因为不够正直，而是不够厚黑好么。。	只说一点，印度人在简历造假面试撒谎包庇同族这类事情上才是行家，这也是他们为什么能在硅谷混的风生水起的原因之一，看看每年h1b有多少是给了印度皮包公司就好了。中国人斗不过他们不是因为不够正直，而是不够厚黑好么。。	[(6, '印'), (7, '度'), (8, '人'), (51, '原'), (79, '中'), (80, '国'), (81, '人')]
CHSD-1642	女还们心里上对难新的不信任，往往会把肌肉同暴力画上等号，忽略人的实质。	女孩们心里上对男性的不信任，往往会把肌肉同暴力画上等号，忽略人的实质。	[(2, '孩'), (8, '男'), (9, '性')]
CHSD-1643	在美国非名贵已经是政治正确了并绑架了整个美国社会的道德观！！！反对种族对立	在美国黑命贵已经是政治正确了并绑架了整个美国社会的道德观！！！反对种族对立	[(4, '黑'), (5, '命')]
CHSD-1644	楼主我想说我遇到一个hr，恶新的要死，三冬人，她被仅工作，每次说话都极力模仿被仅话，那语调恶新的不行，脾气爆的很，简直就是人丑多作怪。还有一家公司的hr和捞供离婚了，把脾气全发在了面试者身上，简直奇葩。从此对女hr敬而远之。倒是大公司的hr都不错	楼主我想说我遇到一个hr，恶心的要死，山东人，她北京工作，每次说话都极力模仿北京话，那语调恶心的不行，脾气爆的很，简直就是人丑多作怪。还有一家公司的hr和老公离婚了，把脾气全发在了面试者身上，简直奇葩。从此对女hr敬而远之。倒是大公司的hr都不错	[(15, '心'), (20, '山'), (21, '东'), (25, '北'), (26, '京'), (39, '北'), (40, '京'), (47, '心'), (78, '老'), (79, '公')]
CHSD-1645	骑洋人对比被洋人骑，你觉得那个好听？而且骑洋人的最少挑点好看的，被骑的那是什么剩扣都可以骑啊！如有男的找黑妹，其他任何男的都不会说他争光什么的，有的只是恶趣味	骑洋人对比被洋人骑，你觉得那个好听？而且骑洋人的最少挑点好看的，被骑的那是什么牲口都可以骑啊！如有男的找黑妹，其他任何男的都不会说他争光什么的，有的只是恶趣味	[(40, '牲'), (41, '口')]
CHSD-1646	土生土长司穿人，只有在流氓混混之类的会用mmp。真的非常恶新下流，mmp＝妈卖皮，皮等于通俗点的逼，百分之九十九的司穿人不会用这个词。如果有人身边的大规模司穿人那么用，我只能说贵圈素质感人。最底层拉记人口汇聚	土生土长四川人，只有在流氓混混之类的会用mmp。真的非常恶心下流，mmp＝妈卖批，批等于通俗点的逼，百分之九十九的四川人不会用这个词。如果有人身边的大规模四川人那么用，我只能说贵圈素质感人。最底层辣鸡人口汇聚	[(5, '四'), (6, '川'), (30, '心'), (40, '批'), (42, '批'), (58, '四'), (59, '川'), (78, '四'), (79, '川'), (99, '辣'), (100, '鸡')]
CHSD-1647	目前日本女券运动的衰落，是日本难型的非暴力不合作换来的，非常不容易	目前日本女权运动的衰落，是日本男性的非暴力不合作换来的，非常不容易	[(6, '权'), (16, '男'), (17, '性')]
CHSD-1648	没素质的人都是这德行 以前也见过斯传人说别个的菜像住食[捂脸]	没素质的人都是这德行 以前也见过四川人说别个的菜像猪食[捂脸]	[(17, '四'), (18, '川'), (26, '猪')]
CHSD-1649	其实也是一种无奈吧，都是为了完成工业化，欧洲人吧资本积累的血腥加给了殖民地，美国加给了非洲费人弩离和印第安人，后来者没有再能向外掠夺，只能转嫁给自己的老百姓了…	其实也是一种无奈吧，都是为了完成工业化，欧洲人吧资本积累的血腥加给了殖民地，美国加给了非洲黑人奴隶和印第安人，后来者没有再能向外掠夺，只能转嫁给自己的老百姓了…	[(46, '黑'), (48, '奴'), (49, '隶')]
CHSD-1650	呵呵 所以说黑河男的多数还是周边省份，自己穷的叮当响民风也差，有事没事不踩河男一脚怎么能凸显自己的高贵呢。菏泽一直跟洛阳抢牡丹城也不是一天两天恶新人啦！	呵呵 所以说黑河南的多数还是周边省份，自己穷的叮当响民风也差，有事没事不踩河南一脚怎么能凸显自己的高贵呢。菏泽一直跟洛阳抢牡丹城也不是一天两天恶心人啦！	[(9, '南'), (39, '南'), (73, '心')]
CHSD-1651	扣了那么多帽子就是不敢承认种郭人就是该这样子。没了认同的人真是可怜，甘心做百人的工具人，歧视押以的时候还要贵天。	扣了那么多帽子就是不敢承认中国人就是该这样子。没了认同的人真是可怜，甘心做白人的工具人，歧视亚裔的时候还要跪舔。	[(14, '中'), (15, '国'), (38, '白'), (47, '亚'), (48, '裔'), (54, '跪'), (55, '舔')]
CHSD-1652	哈哈想想也不太合适，不过确实也是被那些天被室友天天看恶新玩意看吐了，各种吃恶新东西，特别是半夜室友看直播耳边一直回想的动被味	哈哈想想也不太合适，不过确实也是被那些天被室友天天看恶心玩意看吐了，各种吃恶心东西，特别是半夜室友看直播耳边一直回想的东北味	[(28, '心'), (39, '心'), (60, '东'), (61, '北')]
CHSD-1653	必须蒂逾起是！ 不然不都成了圣人了吗！	必须地域歧视！ 不然不都成了圣人了吗！	[(3, '地'), (4, '域'), (5, '歧'), (6, '视')]
CHSD-1654	上海男很恶型的，我遇到不少，动不动就挫b，以为自己很拽	上海男很恶心的，我遇到不少，动不动就挫b，以为自己很拽	[(6, '心')]
